,title,originallink,link,description,pubDate
0,"中 올해 서해에서 100차례 군사훈련, 尹정부는 아나",http://www.skyedaily.com/news/news_view.html?ID=164803,http://www.skyedaily.com/news/news_view.html?ID=164803,“일본의 무역보복 이후 3년여가 지난 가운데 한국 소재·부품·<b>장비</b>(소부장) 부문의 대(對)일본 수입 의존도가 한풀 꺾인 것으로 확인됐다. 같은 기간 대중국 의존도는 30% 선까지 상승해 여전히 공급망 다변화를 위한... ,"Thu, 18 Aug 2022 10:20:00 +0900"
1,"경기도-군, 수해복구 지원‘한뜻’…장병 6,000여명 투입",https://www.sedaily.com/NewsView/269UGM7UVF,https://n.news.naver.com/mnews/article/011/0004088823?sid=102,인력과 <b>장비</b>를 지원해 달라는 협조 공문을 지난 11일 육군 지상작전사령부(이하 지작사)에 발송했다.... 지난 11일부터 17일까지 6000여 명의 군 장병과 함께 중형 굴착기와 트럭 등 <b>장비</b> 30여 대를 지원해 수해복구에... ,"Thu, 18 Aug 2022 10:20:00 +0900"
2,"우리은행, &apos;Woori 탄생(탄소중립 생활 실천) 챌린지&apos;",http://www.pressm.kr/news/articleView.html?idxno=61963,http://www.pressm.kr/news/articleView.html?idxno=61963,챌린지 우수 참여 고객에게는 내구연한이 지난 소방<b>장비</b>를 활용해 제품을 만드는 국내 업사이클링 브랜드 &apos;119REO&apos; 제품과 기프티콘 등 다양한 상품이 증정될 예정이다. [프레스맨],"Thu, 18 Aug 2022 10:20:00 +0900"
3,"우리은행, 고객과 함께하는 &apos;Woori 탄생(탄소중립 생활 실천) 챌린지&apos; 실시",http://www.econonews.co.kr/news/articleView.html?idxno=256862,http://www.econonews.co.kr/news/articleView.html?idxno=256862,챌린지 우수 참여 고객에게는 내구연한이 지난 소방<b>장비</b>를 활용하여 제품을 만드는 국내 업사이클링 브랜드 &apos;119REO&apos;의 제품과 기프티콘 등 다양한 상품이 증정될 예정이다. 이원덕 은행장은 &quot;일상 속에서 실천하는 작은... ,"Thu, 18 Aug 2022 10:20:00 +0900"
4,"SKT, <b>장비</b> 하나로 여러 회선 관리 &apos;유무선 통합 허브 <b>장비</b> 상용화&apos;",https://it.chosun.com/site/data/html_dir/2022/08/18/2022081800862.html,https://it.chosun.com/site/data/html_dir/2022/08/18/2022081800862.html,"여러 광 회선을 한번에 관리할 수 있는 유무선 통합 허브 <b>장비</b>가 나왔다. 하나의 <b>장비</b>로 5G, 4G, 유선 인터넷 등 여러 종류의 서비스에 이용되는 광 회선을 동시에 관리하는 기기다. SK텔레콤은 이동통신망 프론트홀에... ","Thu, 18 Aug 2022 10:20:00 +0900"
5,"&quot;중고차 살 때 무조건 무조건이야&quot;…침수차, 카히스토리로 무료 조회",http://news.mk.co.kr/newsRead.php?no=730025&year=2022,https://n.news.naver.com/mnews/article/009/0005005818?sid=101,보험개발원 관계자는 &quot;전자<b>장비</b>가 많은 요즘 차량은 장마철 폭우로 인해 침수될 경우 차량 부품의 부식으로 안전상의 문제가 지속 될 가능성이 높다&quot;며 &quot;침수차량은 보험사고 접수 후 이틀 후면 카히스토리에 해당... ,"Thu, 18 Aug 2022 10:20:00 +0900"
6,[한눈에 보는 월가투자의견]월마트·홈디포 좋겠네…목표가 줄상향,http://www.edaily.co.kr/news/newspath.asp?newsid=01876166632428632,https://n.news.naver.com/mnews/article/018/0005294955?sid=101,"- 아거스리서치는 산업용 자동화 <b>장비</b> 및 항공전자 시스템 개발사 로크웰 오토메이션(ROK)의 목표주가를 250달러에서 290달러로 높이고, 투자등급은 매수(Buy) 유지. - 캐너코드 제뉴이티는 에너지 저장 제품... ","Thu, 18 Aug 2022 10:19:00 +0900"
7,"인비절라인 투명교정, 개개인에 맞는 정밀한 진단 계획 선행돼야",http://www.stardailynews.co.kr/news/articleView.html?idxno=328334,http://www.stardailynews.co.kr/news/articleView.html?idxno=328334,연세베스트치과의원 부천점 김기범 원장(교정과 전문의)은 &quot;결과적으로 성공한 치아교정이 되기 위해서는 개개인에게 맞는 정밀한 진단과 계획을 수립해 줄 수 있어야 한다&quot;며 &quot;면밀한 진단을 위한 첨단 <b>장비</b>가 구비되어... ,"Thu, 18 Aug 2022 10:18:00 +0900"
8,"SKT, 유무선 통합 허브 최초 상용화···&quot;네트워크 관리 강화&quot;",https://www.youthdaily.co.kr/news/article.html?no=108754,https://www.youthdaily.co.kr/news/article.html?no=108754,"허브 <b>장비</b>를 국내 최초로 상용화해 네트워크 관리 역량을 강화했다고 18일 밝혔다. 이번에 SKT가 상용화한 유무선 통합 허브 <b>장비</b>는 프론트홀 라우터(Fronthaul Router)의 일종으로, 하나의 <b>장비</b>로 5G, 4G, 유선 인터넷... ","Thu, 18 Aug 2022 10:18:00 +0900"
9,"카페24, 라이브커머스 전문가 컨설팅 지원 강화",https://zdnet.co.kr/view/?no=20220818095812,https://n.news.naver.com/mnews/article/092/0002265665?sid=105,서울쇼룸)&apos; ▲촬영 <b>장비</b> 기반으로 방송은 물론 마케팅까지 포괄적으로 돕는 &apos;JK라이브 스튜디오(개발사 제이케이디자인랩) 등 각양각색 라이브커머스 앱을 다운로드 받아 사용할 수 있다. 카페24는 향후에도 전문가를... ,"Thu, 18 Aug 2022 10:17:00 +0900"
